Misspelling,Suggestion
adress,address
adault,adult
alll,all
animaitons,animations
enybody,anybody
appart,apart
apeal,appeal
becaes,because
becauase,because
becauce,because
becouse,because
comefortable,comfortable
comfertable,comfortable
conplete,complete
ciberbulling,cyberbullying
cyberbulling,cyberbullying
cyberbullyin,cyberbullying
danses,dances
detaled,detailed
differance,difference
digitle,digital
dicussions,discussions
easyer,easier
entertaning,entertaining
enviroments,environments
egsample,example
frend,friend
frendly,friendly
freindly,friendly
frendes,friends
frends,friends
genuilly,genuinely
grafics,graphics
haveing,having
honastly,honestly
importent,important
innapropriate,inappropriate
instagram,instagram
instergram,instagram
instgram,instagram
jerck,jerk
kiddnap,kidnap
kidnapp,kidnap
kiddnaper,kidnapper
kidknapper,kidnapper
kidnaper,kidnapper
kidnaping,kidnapping
learnung,learning
minipulate,manipulate
meny,many
maybey,maybe
meet,meet
messanger,messenger
michael,michael
netfilix,netflix
normlly,normally
pasword,password
perswade,persuade
posibly,possibly
petend,pretend
probobly,probably
probrely,probably
raelistic,realistic
recieved,received
respound,respond
restrtictions,restrictions
rediculous,ridiculous
skreen,screen
someting,something
somthing,something
somewere,somewhere
spase,space
tawk,talk
teatching,teaching
tolld,told
whith,with
youself,yourself
