Mispelling,suggestion
bankg,bang
bicyle,bicycle
evey,every
marrid,married
noet,note
pome,poem
pollce,police
thats,that's
thinkng,thinking
triumh,triumph
wh't,what
agian,again
amblance,ambulance
amusments,amusements
any_on,anyone
any_own,anyone
anythink,anything
enthing,anything
arent,aren't
arsking,asking
barscket,basket
beting,beating
beaufiful,beautiful
bacam,became
bewere,beware
biger,bigger
bigest,biggest
biccuits,biscuits
biten,bitten
bosting,boasting
botton,bottom
bred_crumes,breadcrumbs
carn't,can't
catptman,captain
carful,careful
carred,carried
carring,carrying
caugh,caught
characte,character
cheeroh,cheerio
chidren,children
childrenes,children's
choosen,chosen
cinma,cinema
clater,clatter
clearn,clean
colur,colour
comeing,coming
comon,common
creps,creeps
crepy,creepy
departent,department
depatment,department
dident,didn't
disaperd,disappeared
does'nt,doesn't
doesnet,doesn't
donw,down
drian,drain
drem,dream
dreming,dreaming
enaged,engaged
enagement,engagement
evry_on,everyone
evry_were,everywhere
factoy,factory
fild,field
figthing,fighting
fianl,final
fsh,fish
foor,floor
frogsporn,frogspawn
frount,front
funerl,funeral
funrel,funeral
guter,gutter
hadnt,hadn't
hemmsering,hammering
happly,happily
havn't,haven't
haer,hear
hertbreake,heartbreak
he_slef,herself
his_self,himself
horrieyfide,horrified
house_braking,housebreaking
injeck,inject
instace,instance
introducted,introduced
isant,isn't
joged,jogged
keept,kept
kichen,kitchen
kniffe,knife
larg,large
latley,lately
lauging,laughing
listern,listen
lonlest,loneliest
lory,lorry
lovyley,lovely
marreid,married
marshladn,marshland
marsks,masks
meadoy,meadow
migth,might
miss_fireing,misfiring
morther,mother
nearst,nearest
nealy,nearly
nerly,nearly
niped,nipped
o_clock,o'clock
"o,_clock",o'clock
oclock,o'clock
ordenrey,ordinary
orphaed,orphaned
ove,over
paralised,paralysed
prarents,parents
parth_way,pathway
peped,peeped
peolpe,people
pople,people
phto,photo
picted,picked
pictyres,pictures
pitures,pictures
pice,piece
poilice,police
polic,police
policman,policeman
polce_men,policemen
police_men,policemen
potates,potatoes
pregant,pregnant
prettest,prettiest
preety,pretty
probally,probably
prouls,prowls
puntuation,punctuation
qurral,quarrel
quiert,quiet
quitely,quietly
replid,replied
reveirse,reverse
recher,richer
raod,road
rougth,rough
rownd,round
safaly,safely
siad,said
seach,search
senour,senor
exual,sexual
sexul,sexual
shoold,should
shoud,should
sould,should
shufarling,shuffling
side_car,sidecar
side_care,sidecar
snoty,snooty
some_on,someone
somethink,something
squar,square
stabed,stabbed
starst,starts
staidght,straight
stright,straight
sterret,street
suden,sudden
suddenel,suddenly
surpose,suppose
tallk,talk
tast,taste
telphoned,telephoned
thre,there
thoese,these
throught,thought
utill,till
to_nigth,tonight
tonigth,tonight
trobel,trouble
on_hethy,unhealthy
veracular,vernacular
wated,waited
wating,waiting
whant,want
wasnt,wasn't
wacth,watch
watcheing,watching
wasel,weasel
weping,weeping
wetn,went
whenet,went
wnet,went
were'nt,weren't
wern't,weren't
wha't,what
whate,what
were_ever,wherever
wiskey,whiskey
wippd,wiped
worred,worried
yers,years
yeth,yet
yourns,yours
yourseff,yourself
