Mispelling,Suggestion
addres,address
adress,address
adault,adult
alll,all
animaitons,animations
enybody,anybody
appart,apart
apeal,appeal
beacause,because
beaccause,because
becaes,because
becauase,because
becauce,because
becouse,because
comefortable,comfortable
comfertable,comfortable
communacation,communication
conplete,complete
danses,dances
detaled,detailed
differance,difference
digitle,digital
easyer,easier
entertaning,entertaining
egsample,example
favouate,favourite
frend,friend
frendly,friendly
freindly,friendly
frendes,friends
frends,friends
grafics,graphics
haveing,having
honastly,honestly
importent,important
innapropriate,inappropriate
jerck,jerk
kiddnap,kidnap
kidnapp,kidnap
kiddnaper,kidnapper
kidknapper,kidnapper
kidnaper,kidnapper
kidnaping,kidnapping
learnung,learning
lonley,lonely
minipulate,manipulate
meny,many
mabye,maybe
maybey,maybe
meet,meet
messanger,messenger
michael,michael
normlly,normally
pasword,password
poeple,people
perswade,persuade
posibly,possibly
probobly,probably
probrely,probably
recieved,received
respound,respond
restrtictions,restrictions
rediculous,ridiculous
saftey,safety
skreen,screen
someting,something
somthing,something
somewere,somewhere
spase,space
tawk,talk
teatching,teaching
tolld,told
trost,trust
whants,wants
whith,with
youself,yourself
