Misspelling,Suggestion
adress,address
adault,adult
alll,all
animaitons,animations
enybody,anybody
appart,apart
apeal,appeal
avitar,avatar
becaes,because
becauase,because
becauce,because
becouse,because
comefortable,comfortable
comfertable,comfortable
conplete,complete
danses,dances
detaled,detailed
differance,difference
digitle,digital
dicussions,discussions
downlding,downloading
easyer,easier
entertaning,entertaining
enviroment,environment
enviroments,environments
egsample,example
frend,friend
frendly,friendly
freindly,friendly
frendes,friends
frends,friends
genuilly,genuinely
grafics,graphics
haveing,having
hee,he
honastly,honestly
importent,important
innapropriate,inappropriate
jerck,jerk
kiddnap,kidnap
kidnapp,kidnap
kiddnaper,kidnapper
kidknapper,kidnapper
kidnaper,kidnapper
kidnaping,kidnapping
learnung,learning
minipulate,manipulate
meny,many
maybey,maybe
meet,meet
messanger,messenger
michael,michael
mishon,mission
netfilix,netflix
normlly,normally
pasword,password
perswade,persuade
posibly,possibly
preaditor,predator
petend,pretend
probobly,probably
probrely,probably
raelistic,realistic
recieved,received
respound,respond
restrtictions,restrictions
rediculous,ridiculous
skreen,screen
someting,something
somthing,something
somewere,somewhere
spase,space
suprise,surprise
tawk,talk
teatching,teaching
tolld,told
whith,with
youself,yourself
