Misspelling,suggestion
apirl,april
audre,audrey
autin,austin
babys,baby
beryil,beryl
bicyle,bicycle
farrari,ferrari
itlay,italy
jluy,july
londod,london
marrid,married
pollce,police
royl,royal
stanlay,stanley
stranden,stranded
thinkng,thinking
triumh,triumph
watston,watson
wh't,what
agan,again
agian,again
amblance,ambulance
amusments,amusements
aud,and
any_on,anyone
anythink,anything
arsking,asking
atack,attack
autunm,autumn
barscket,basket
baskek,basket
beaufiful,beautiful
behism,behind
beter,better
bewere,beware
big_haded,big-headed
biger,bigger
bigest,biggest
brid,bird
biccuits,biscuits
bravist,bravest
borther,brother
buld,build
bulet,bullet
bulete,bullet
carn't,can't
can_not,cannot
captian,captain
captman,captain
carrer,career
carful,careful
carred,carried
carring,carrying
caugh,caught
choin,chain
characte,character
chidren,children
christman,christmas
cinma,cinema
clob,club
colur,colour
comr,come
comon,common
corres,cores
crowling,crawling
cerled,curled
daffodill,daffodils
deat,death
disel,diesel
doesnet,doesn't
dowing,doing
doudle,double
donw,down
dreming,dreaming
druck,drunk
elecenician,electrician
enaged,engaged
ingaged,engaged
enagement,engagement
engouh,enough
evining,evening
eyey,eyes
farther's,father's
ferrary,ferrari
figth,fight
figthing,fighting
fianl,final
fsh,fish
fellowed,followed
freinds,friends
frount,front
funerl,funeral
carage,garage
gying,going
grabed,grabbed
groon,grown
hab,had
halloe,hallo
hemmsering,hammering
happends,happens
heared,heard
he_slef,herself
homse,home
instace,instance
introducted,introduced
juiciy,juicy
geep,keep
kichen,kitchen
kniffe,knife
ladys,lady
laded,landed
larg,large
latley,lately
lated,later
lauging,laughing
listern,listen
litte,little
lod,old
lovyley,lovely
macke_up,make-up
marreid,married
marryid,married
meadoy,meadow
mean't,meant
migth,might
moning,morning
morring,morning
morther,mother
my_shelf,myself
nearst,nearest
nealy,nearly
nerly,nearly
neve,never
o_clock,o'clock
"o,_clock",o'clock
oclock,o'clock
wones,ones
orphaed,orphaned
outdrak,outbreak
paralised,paralysed
prarents,parents
parth_way,pathway
peolpe,people
peason,person
phto,photo
picted,picked
piked,picked
pictyres,pictures
pitures,pictures
poicle,police
poilice,police
polic,police
policman,policeman
polce_men,policemen
police_men,policemen
potates,potatoes
pregant,pregnant
prettest,prettiest
preety,pretty
principl,principle
probally,probably
programe,programme
programes,programmes
quiert,quiet
quitely,quietly
replid,replied
reveirse,reverse
recher,richer
rigth,right
raod,road
rougth,rough
rownd,round
safaly,safely
sald,said
seid,said
shool,school
semed,seemed
senour,senor
sexul,sexual
shoold,should
shoud,should
shufarling,shuffling
slolly,slowly
some_on,someone
somethick,something
somethink,something
sonner,sooner
spicil,special
squar,square
sairs,stairs
staning,standing
statmeant,statement
stastione,station
stepe,step
stoped,stopped
stors,story
staidght,straight
stright,straight
strow,straw
sterret,street
suden,sudden
suddenel,suddenly
surpose,suppose
tackon,taken
tallk,talk
telphoned,telephoned
teel,tell
theat,that
thoese,these
tinking,thinking
thomes,thomas
thruogth,through
to_nigth,tonight
tonigth,tonight
trator,tractor
trid,tried
troefle,trouble
truble,trouble
unlce,uncle
unispected,unexpected
use't,used
vethu,vet
wating,waiting
wos,was
wacth,watch
weping,weeping
wens,went
wetn,went
wnet,went
were'nt,weren't
wha't,what
whate,what
whot,what
wiskey,whiskey
wippd,wiped
wiht,with
yers,years
yourns,yours
yourseff,yourself
