correct,in_candidates,correct_spelling,misspelling,phoneme_rep,suggested,suggested_phoneme,candidates
0.0,0.0,apennines,apenines,AE P AH N IY N Z,convenes,K AH N V IY N Z,"['convenes', 'canteens', 'captions', 'chaplains', 'captains', 'japanese', 'apennine', 'agonies', 'adenine', 'peonies']"
0.0,0.0,apennines,appenines,AE P AH N IY N Z,convenes,K AH N V IY N Z,"['convenes', 'canteens', 'captions', 'chaplains', 'captains', 'japanese', 'apennine', 'agonies', 'adenine', 'peonies']"
0.0,1.0,athenian,athenean,AE TH AH N IY AH N,athenaeum,AE TH AH N IY AH M,"['athenaeum', 'athenian', 'kantian', 'unbeaten', 'pathogen', 'venetian', 'phoenician', 'athenians', 'adenine', 'apennine']"
1.0,1.0,athenians,atheneans,AE TH AH N IY AH N Z,athenians,AE TH IY N IY AH N Z,"['athenians', 'pathogens', 'phoenicians', 'athenian', 'athenaeum']"
0.0,0.0,bernoulli,bernouilli,B ER N UW IY,burnley,B ER N L IY,"['burnley', 'bungee', 'bandy', 'banshee', 'banshee', 'burners', 'guernsey', 'bernard', 'burnet', 'burnett']"
1.0,1.0,blitzkrieg,blitzkreig,B L IH T S K R AY G,blitzkrieg,B L IH T S K R IY G,['blitzkrieg']
1.0,1.0,brazilian,brasillian,B R AH S IH L Y AH N,brazilian,B R AH Z IH L Y AH N,"['brazilian', 'brasilia', 'brazilians', 'brasilia', 'brilliance', 'brilliant']"
1.0,1.0,britain,britian,B R IH SH AH N,britain,B R IH T AH N,"['britain', 'britten', 'briton', 'prussian', 'freshen', 'grecian', 'brennan', 'oration', 'bremen', 'bracken']"
1.0,1.0,british,brittish,B R IH T IH SH,british,B R IH T IH SH,"['british', 'brutish', 'brackish', 'britain', 'britten', 'briton', 'brittle', 'brownish', 'skittish', 'gritting']"
0.0,0.0,caesar,ceasar,S AH S AA R,bizarre,B AH Z AA R,"['bizarre', 'bazaar', 'bazar', 'sitar', 'sonar', 'samar', 'cigar', 'sassoon', 'facade', 'severe']"
1.0,1.0,cambridge,cambrige,K AE M B R IH JH,cambridge,K EY M B R IH JH,"['cambridge', 'cambria', 'cabotage', 'oxbridge', 'cabbages', 'carriages', 'umbrage', 'carriage', 'cabbage']"
1.0,1.0,carcass,carcas,K AA R K AH S,carcass,K AA R K AH S,"['carcass', 'marcus', 'corpus', 'parkas', 'corvus', 'dorcas', 'vargas', 'carpet', 'carpal', 'marcos']"
1.0,1.0,caribbean,carribean,K AE R IH B IY AH N,caribbean,K EH R IH B IY AH N,"['caribbean', 'caribbean', 'cambrian', 'amphibian']"
0.0,0.0,carthaginian,carthagian,K AA R TH EY JH IY AH N,,,[]
0.0,0.0,catiline,cataline,K AE T AH L IY N,gasoline,G AE S AH L IY N,"['gasoline', 'catalan', 'karolyn', 'vaseline', 'catalogue', 'cavalier', 'cavalry', 'casualty', 'caxton', 'capstan']"
1.0,1.0,celsius,celcius,S EH L S IY IH S,celsius,S EH L S IY AH S,"['celsius', 'solstice', 'sexless', 'celtics', 'telesis', 'sexist', 'sleeveless', 'sepsis']"
0.0,0.0,champagne,champange,CH AE M P AE N JH,champion,CH AE M P IY AH N,"['champion', 'sampan', 'champaign']"
1.0,1.0,connecticut,conneticut,K AH N EH T AH K AH T,connecticut,K AH N EH T AH K AH T,"['connecticut', 'construct', 'netiquette']"
0.0,1.0,cypriot,cyprian,S IH P R IY AH N,cyprian,S IH P R IY AH N,"['cyprian', 'cypriot', 'cypriot', 'zairian', 'simpson', 'assyrian', 'stygian', 'austrian', 'illyrian', 'spearman']"
1.0,1.0,ellis,eles,EH L EH S,ellis,EH L IH S,"['ellis', 'ellice', 'sos', 'elks', 'bless', 'alas', 'alice', 'alyce', 'eyeless', 'heiress']"
0.0,0.0,enlist,enlish,EH N L IH SH,english,IH NG L IH SH,"['english', 'unleash', 'enrich', 'elfish', 'relish', 'polish', 'polish', 'churlish', 'kalisz', 'ghoulish']"
1.0,1.0,european,europian,Y UH R OW P IY AH N,european,Y UH R AH P IY AH N,"['european', 'europium', 'utopian', 'europeans', 'europa']"
0.0,0.0,european,eurpean,ER P IY N,earlene,ER L IY N,"['earlene', 'urbane', 'spain', 'urban', 'upon', 'open', 'opine', 'appeal', 'apiece', 'ilene']"
0.0,0.0,european,eurpoean,ER P OW IY AH N,spoken,S P OW K AH N,"['spoken', 'serbian', 'erroneous', 'permian', 'corrosion', 'jovian', 'podium', 'protein', 'pianists', 'peonies']"
1.0,1.0,europeans,europians,Y UH R OW P IY AH N Z,europeans,Y UH R AH P IY AH N Z,"['europeans', 'utopians', 'european', 'europium']"
0.0,0.0,february,febuary,F EH B EH R IY,dewberry,D UW B EH R IY,"['dewberry', 'belfry', 'ferrying', 'barriers', 'burial', 'barium', 'barrios', 'burying', 'forebear', 'embryo']"
1.0,1.0,flemish,flemmish,F L EH M IH SH,flemish,F L EH M IH SH,"['flemish', 'blemish', 'fleming', 'flattish', 'flaming', 'flaring', 'fledging', 'filming', 'flourished', 'famished']"
1.0,1.0,franciscan,fransiscan,F R AE N Z IH S K AH N,franciscan,F R AE N S IH S K AH N,"['franciscan', 'franciscans']"
1.0,1.0,franciscans,fransiscans,F R AE N S IH S K AH N Z,franciscans,F R AE N S IH S K AH N Z,"['franciscans', 'franciscan']"
0.0,0.0,game,gae,G EY,gay,G EY,"['gay', 'ghee', 'guy', 'kay', 'quay', 'kaye', 'cay', 'quai', 'goy', 'go', 'gogh']"
0.0,0.0,galatians,galations,G AH L EY SH AH N Z,malaysians,M AH L EY ZH AH N Z,"['malaysians', 'relations', 'summations', 'solutions', 'locations', 'magallanes', 'coloration', 'galoshes', 'violations', 'aleutians']"
1.0,1.0,gandhi,ghandi,G AA N D IY,gandhi,G AA N D IY,"['gandhi', 'condo', 'condor', 'candy', 'monte', 'gonzo', 'dundee', 'gander', 'ganda', 'conley']"
0.0,0.0,going,gogin,G OW G IH N,gauguin,G OW G AE N,"['gauguin', 'goshen', 'gigging', 'goading', 'begin', 'given', 'hogan', 'gavin', 'colin', 'logan']"
1.0,1.0,guatemala,guatamala,G W AA T AH M AA L AH,guatemala,G W AA T AH M AA L AH,"['guatemala', 'guatemalan', 'guatemalans']"
1.0,1.0,guatemalan,guatamalan,G W AA T AH M AA L AH N,guatemalan,G W AA T AH M AA L AH N,"['guatemalan', 'guatemala', 'guatemalans']"
1.0,1.0,guinness,guiness,G IH N AH S,guinness,G IH N AH S,"['guinness', 'gayness', 'guineas', 'venice', 'janus', 'janice', 'menace', 'bonus', 'finesse', 'heinous']"
