correct,correct_spelling,misspelling,phoneme_rep,suggested,suggested_phoneme,candidates
1,actually,achuly,AE CH UW L IY,actually,AE K CH L IY,"['actually', 'truly', 'cruelly', 'amply', 'aptly', 'emilie', 'emily', 'icily', 'italy', 'utterly']"
0,actually,acualy,AE K Y UW W AH L IY,accurately,AE K Y ER AH T L IY,"['accurately', 'casually', 'usually', 'annually', 'actually', 'adequacy', 'acutely', 'acuity', 'unusually', 'accuracies']"
1,address,addres,AE D R EY Z,address,AE D R EH S,"['address', 'address', 'advise', 'strays', 'appraise', 'iras', 'adams', 'addams', 'mores', 'sprays']"
0,address,adres,EY D R EY Z,strays,S T R EY Z,"['strays', 'iras', 'appraise', 'sprays', 'forays', 'address', 'address', 'mores', 'berets', 'agrees']"
1,address,adress,AH D R EH S,address,AE D R EH S,"['address', 'address', 'oppress', 'egress', 'stress', 'advice', 'obsess', 'unless', 'adroit', 'across']"
1,adult,adault,AH D AO L T,adult,AH D AH L T,"['adult', 'assault', 'adored', 'adopt', 'adult', 'abort', 'appalled', 'adolph', 'assort', 'adores']"
0,affect,afect,AH F EH K T,effect,AH F EH K T,"['effect', 'affect', 'effect', 'effect', 'offend', 'affix', 'effects', 'attacked', 'eject', 'erect']"
1,all,alll,AO L,all,AO L,"['all', 'or', 'ore', 'orr', 'oar', 'ole', 'ell', 'isle', 'aisle', ""i'll""]"
1,animations,animaitons,AE N AH M EY T AH N Z,animations,AE N AH M EY SH AH N Z,"['animations', 'annotations', 'innovations', 'affirmations', 'appalachians', 'appalachians', 'appellations', 'allegations', 'allocations', 'animators']"
1,annoying,anoeing,AH N UW IH NG,annoying,AH N OY IH NG,"['annoying', 'issuing', 'eschewing', 'entering', 'inching', 'unsung', 'ending', 'ushering', 'snowing', 'allying']"
0,answering,ansaring,AE N S EH R IH NG,uncaring,AH N K EH R IH NG,"['uncaring', 'accessing', 'excelling', 'endearing', 'ensuring', 'inciting', 'unceasing', 'inserting', 'impairing', 'unseating']"
1,anybody,enybody,EH N IY B AH D IY,anybody,EH N IY B AH D IY,"['anybody', 'enabler', 'enables', 'enabled', 'uneasily', 'somebody', 'entropy', 'enabled', 'entreaty', 'ennobled']"
1,apart,appart,AH P AA R T,apart,AH P AA R T,"['apart', 'abort', 'assort', 'sport', 'appeared', 'urquhart', 'sparred', 'apollo', 'appears', 'appoint']"
