Misspelling,suggestion
nevade,nevada
abouy,about
anynomous,anonymous
archeype,archetype
asterick,asterisk
ast,at
bankrot,bankrupt
belive,believe
metter,better
bouyant,buoyant
buracracy,bureaucracy
burracracy,bureaucracy
budter,butter
buton,button
circue,circle
clob,club
colleaque,colleague
colloquilism,colloquialism
comitte,committee
comiler,compiler
compicated,complicated
comupter,computer
contunie,continue
criqitue,critique
dieties,deities
descrption,description
desparate,desperate
direcyly,directly
diagree,disagree
discuess,discuss
distarct,distract
doog,dog
deaft,draft
drunkeness,drunkenness
dymatic,dynamic
dynaic,dynamic
efficity,efficacy
embarass,embarrass
embarassment,embarrassment
engins,engine
enought,enough
erro,error
evaualtion,evaluation
forsee,foresee
fuction,function
goberment,government
gaurd,guard
harrass,harass
havne,have
heighth,height
hlp,help
higer,higher
howver,however
hystrical,hysterical
inconvience,inconvenience
indispensible,indispensable
initinized,initialized
innoculate,inoculate
insistenet,insistent
intealignt,intelligent
intelignt,intelligent
intellgnt,intelligent
internation,international
lilometer,kilometre
knawing,knowing
latext,latest
leasve,leave
liason,liaison
libary,library
likly,likely
lossing,losing
maxium,maximum
midia,media
meory,memory
miniscule,minuscule
mischievious,mischievous
mroe,more
oving,moving
neccessary,necessary
necesser,necessary
occusionaly,occasionally
occuppied,occupied
occurence,occurrence
protray,portray
pragmaticism,pragmatism
prefices,prefixes
respct,respect
roon,room
sacreligious,sacrilegious
saftly,safely
scrabdle,scrabble
secion,section
seferal,several
singal,signal
sitte,site
situration,situation
specificialy,specifically
taht,that
teh,the
thw,the
theirselves,themselves
tured,turned
uranisium,uranium
verison,version
whaaat,what
writting,writing
