Misspelling,Suggestion
apprentiship,apprenticeship
butlins,butlins
comentary,commentary
docter,doctor
gardon,garden
good_by,goodbye
japannese,japanese
londen,london
macwillaims,macwilliams
mean_while,meanwhile
nexe,next
out_side,outside
prisern,prison
slaughthouse,slaughterhouse
smocking,smoking
some_one,someone
tv,tv
wiich,which
a_bout,about
absolutly,absolutely
a_gain,again
a_go,ago
a_lone,alone
a_long,along
allright,alright
allso,also
all_ways,always
allways,always
a_nother,another
a_nouther,another
any_one,anyone
any_thing,anything
anyting,anything
a_round,around
arived,arrived
a_sleep,asleep
a_way,away
babyes,babies
becaues,because
becouse,because
be_for,before
befor,before
bend_in,bending
blossm,blossom
boy_friend,boyfriend
boyfreind,boyfriend
boyfrend,boyfriend
brecfast,breakfast
brocken,broken
brusels,brussels
calld,called
candle_stick,candlestick
carrid,carried
charickter,character
cherped,chirped
cinama,cinema
classis,classes
comeing,coming
consantrate,concentrate
cow_boys,cowboys
cryed,cried
cresp,crisp
croud,crowd
silinders,cylinders
dangerus,dangerous
darck,dark
desided,decided
dicided,decided
departent,department
depatment,department
diffrent,different
difrent,different
differcult,difficult
disapeared,disappeared
dispiaying,displaying
disposol,disposal
does'nt,doesn't
down_stairs,downstairs
drye,dry
imployment,employment
emty,empty
enterd,entered
aquitment,equipment
evning,evening
every_one,everyone
every_were,everywhere
feal,feel
feling,feeling
feemale,female
feild,field
footandmouth,foot-and-mouth
foodprints,footprints
forword,forward
frendly,friendly
frends,friends
frightend,frightened
frogsporn,frogspawn
frunt,front
funney,funny
gamekeeps,gamekeeper
gett,get
geting,getting
gerls,girls
goodby,goodbye
greive,grieve
grouned,ground
hair_dreser,hairdresser
happend,happened
haveing,having
hertbreake,heartbreak
him_self,himself
honymoon,honeymoon
hunemoon,honeymoon
horid,horrid
house_boat,houseboat
house_braking,housebreaking
housee_work,housework
hungrey,hungry
indiscrest,indiscreet
injeck,inject
in_side,inside
joine,join
jungel,jungle
killd,killed
knitt,knit
knowes,knows
laide,laid
leav,leave
life_boat,lifeboat
loades,loads
locked,locked
maneger,manager
many_fold,manifold
meny,many
marshladn,marshland
meddow,meadow
medow,meadow
midsummer's,midsummer
minetes,minutes
motor-cruisr,motor-cruiser
moter_bike,motorbike
motor_bike,motorbike
murber,murder
my_self,myself
nede,need
never_the_less,nevertheless
ninty,ninety
nurse's,nurses
other_wise,otherwise
ouht,out
out_fit,outfit
out_fits,outfits
partey,party
pictuou,picture
police_man,policeman
post_cards,postcards
pouder,powder
prayerbook,prayer-book
pretiest,prettiest
prisin,prison
privait,private
prouls,prowls
puntuation,punctuation
raceing,racing
radyator,radiator
reding,reading
realy,really
retier,retire
exual,sexual
ship_wreck,shipwreck
shortend,shortened
side_car,sidecar
side_care,sidecar
sing_post,signpost
singl,single
sleepey,sleepy
soled,sold
some_thing,something
somthing,something
some_times,sometimes
some_were,somewhere
sownd,sound
spectatoes,spectators
splended,splendid
stolon,stolen
stowlen,stolen
sunck,sunk
tadpolls,tadpoles
takeing,taking
therell,there'll
to_gether,together
toled,told
to_morrow,tomorrow
to_night,tonight
towords,towards
tresure,treasure
traing,trying
undergroth,undergrowth
unfitt,unfit
untill,until
up_stairs,upstairs
usally,usually
veracular,vernacular
volonteered,volunteered
whanted,wanted
watcheing,watching
waterrat,water-rat
weeke,week
week_ends,weekends
wern't,weren't
what_ever,whatever
where_ever,wherever
with_out,without
wondoful,wonderful
work_men,workmen
writeing,writing
yess,yes
youre,your
your_self,yourself
