Mispelling,Suggestion
adault,adult
alll,all
animaitons,animations
enybody,anybody
appart,apart
avitar,avatar
becaes,because
becauase,because
becauce,because
bystader,bystander
comefortable,comfortable
comfertable,comfortable
consiqences,consequences
danses,dances
detaled,detailed
differance,difference
digitle,digital
downlding,downloading
easyer,easier
entertaning,entertaining
enviroment,environment
enviroments,environments
frend,friend
frendly,friendly
frendes,friends
frends,friends
genuilly,genuinely
grafics,graphics
haveing,having
hee,he
honastly,honestly
importent,important
innapropriate,inappropriate
jerck,jerk
kiddnap,kidnap
kidnapp,kidnap
kiddnaper,kidnapper
kidknapper,kidnapper
kidnaper,kidnapper
kidnaping,kidnapping
learnung,learning
meny,many
maybey,maybe
meet,meet
messanger,messenger
michael,michael
mishon,mission
normlly,normally
pasword,password
perswade,persuade
probobly,probably
probrely,probably
recieved,received
respound,respond
skreen,screen
someting,something
somewere,somewhere
spase,space
tawk,talk
teatching,teaching
tolld,told
whith,with
