Mispelling,suggestion
ameraca,america
amercia,america
ameracan,american
apirl,april
austrain,austrian
canda,canada
crist,christ
christain,christian
cristmus,christmas
decmber,december
ingish,english
inglish,english
febuary,february
feburay,february
fench,french
freach,french
firday,friday
i'ld,i'd
irland,ireland
januery,january
jaly,july
mayfeild,mayfield
octber,october
pyrannean,pyrenean
samariton,samaritan
satuarday,saturday
septmber,september
tusday,tuesday
vitiorian,victorian
wedensday,wednesday
abbatoir,abattoir
abilty,ability
ablity,ability
abule,able
able_bodied,able-bodied
abont,about
abot,about
abuot,about
a_buve,above
abofe,above
abowe,above
abuve,above
apuve,above
ubove,above
unbove,above
abserid,absurd
absord,absurd
aburd,absurd
abouse,abuse
acellerate,accelerate
acept,accept
aceptable,acceptable
aceptible,acceptable
acetable,acceptable
ackeptable,acceptable
asseptable,acceptable
acepted,accepted
acess,access
accesion,accession
acadent,accident
accdient,accident
acciendent,accident
accierdent,accident
acddent,accident
acedent,accident
aciadent,accident
aciddent,accident
acident,accident
aciedent,accident
acsdent,accident
akcdent,accident
ancident,accident
asident,accident
accommondate,accommodate
accomnadate,accommodate
accomnodate,accommodate
acommodiate,accommodate
accommodiation,accommodation
accommtation,accommodation
accmpaning,accompanying
accompaining,accompanying
accompaning,accompanying
accompanning,accompanying
accompaying,accompanying
accompening,accompanying
accompining,accompanying
accompning,accompanying
accomponing,accompanying
accompying,accompanying
accompyning,accompanying
acconpaning,accompanying
accopaning,accompanying
acompanning,accompanying
accaplished,accomplished
acomplised,accomplished
accordences,accordance
accrdanse,accordance
acoradance,accordance
adcordence,accordance
accruded,accrued
accrueded,accrued
accruell,accrued
accruid,accrued
accrured,accrued
accruved,accrued
ackcrude,accrued
ackruid,accrued
accruately,accurately
accustome,accustomed
accustomend,accustomed
accustomened,accustomed
accutomed,accustomed
acustemed,accustomed
acustomend,accustomed
acheing,aching
aceknowledgement,acknowledgement
acknowelgement,acknowledgement
acknowlegdement,acknowledgement
ackownledgement,acknowledgement
knowledgement,acknowledgement
acknowldging,acknowledging
acknowlding,acknowledging
acknowlging,acknowledging
accquiantance,acquaintance
acqauntance,acquaintance
acquaitance,acquaintance
acquiantance,acquaintance
aquiese,acquiesce
acroos,across
acros,across
activites,activities
actural,actual
accualy,actually
acually,actually
acuatly,actually
atchually,actually
attually,actually
attualy,actually
additon,addition
addittion,addition
addtion,addition
addional,additional
additonal,additional
adeqake,adequate
adequante,adequate
adequet,adequate
adequette,adequate
adoqate,adequate
adquante,adequate
adquate,adequate
adquated,adequate
adjacnt,adjacent
adjorened,adjourned
adjorned,adjourned
adjouirned,adjourned
adjouned,adjourned
adjoured,adjourned
adjournaled,adjourned
admiistered,administered
addmited,admitted
addmitted,admitted
addmittid,admitted
admetted,admitted
admitid,admitted
admitten,admitted
amitted,admitted
adobt,adopt
advanage,advantage
advatige,advantage
advantagous,advantageous
aearoplane,aeroplane
aeoroplane,aeroplane
aereoplane,aeroplane
aerplana,aeroplane
airoplan,aeroplane
airoplane,aeroplane
airplan,airplane
areaplane,aeroplane
areoplane,aeroplane
aroeplane,aeroplane
aroplane,aeroplane
aroplaned,aeroplane
earoplane,aeroplane
eiroplane,aeroplane
eoroplane,aeroplane
oroplane,aeroplane
affecianate,affectionate
affecionate,affectionate
affecitionate,affectionate
affectimate,affectionate
effecionate,affectionate
affectionally,affectionately
affectionely,affectionately
affectiontlly,affectionately
affets,affects
afdavit,affidavit
afedavit,affidavit
affadivit,affidavit
affadvit,affidavit
affaidivit,affidavit
affedavid,affidavit
affiadait,affidavit
affidait,affidavit
affidatet,affidavit
affidaved,affidavit
affidavent,affidavit
affidavidit,affidavit
affidavited,affidavit
affidevit,affidavit
affidivat,affidavit
affidivit,affidavit
afidavid,affidavit
effidavit,affidavit
afriad,afraid
afterwars,afterwards
againt,again
agan,again
agian,again
agoin,again
agianst,against
agancyes,agencies
agecies,agencies
agencieces,agencies
agenices,agencies
agenies,agencies
agentcies,agencies
agentcy,agency
agentices,agencies
agenticies,agencies
agentsies,agencies
angcies,agencies
angencies,agencies
angencles,agencies
engencies,agencies
agant,agent
airpot,airport
arlarm,alarm
aliv,alive
all_boys,all-boys
all_round,all-round
allatmont,allotment
arlotment,allotment
atlotment,allotment
aling,along
alfpint,alpine
almpine,alpine
alss,also
aslo,also
allthough,although
allthouth,although
athough,although
attough,although
alilmeter,altimeter
altermeter,altimeter
atemeter,altimeter
atimeter,altimeter
atlimeter,altimeter
outimeter,altimeter
alatetude,altitude
alletude,altitude
altiude,altitude
altiuded,altitude
altuide,altitude
atlogeher,altogether
allumna,alumni
allumni,alumni
allumnie,alumni
allumny,alumni
almni,alumni
alumani,alumni
alumany,alumni
alumi,alumni
alumini,alumni
alummne,alumni
