Misspelling,Suggestion
adress,address
adault,adult
alll,all
animaitons,animations
enybody,anybody
appart,apart
apeal,appeal
avitar,avatar
becaes,because
becauase,because
becauce,because
becouse,because
comefortable,comfortable
comfertable,comfortable
conplete,complete
confedence,confidence
ciberbulling,cyberbullying
cyberbulling,cyberbullying
cyberbullyin,cyberbullying
detale,detail
detaled,detailed
deetales,details
differance,difference
difrunt,different
digitle,digital
dicussions,discussions
downlding,downloading
entertaning,entertaining
enviroment,environment
enviroments,environments
evry,every
everyones,everyone's
egsample,example
futprnt,footprint
frendly,friendly
freindly,friendly
grafics,graphics
haveing,having
honastly,honestly
innapropriate,inappropriate
isnt,isn't
jerck,jerk
kiddnap,kidnap
kidnapp,kidnap
kiddnaper,kidnapper
kidknapper,kidnapper
kidnaper,kidnapper
kidnaping,kidnapping
learnung,learning
minipulate,manipulate
mabey,maybe
maybey,maybe
meet,meet
messanger,messenger
mishon,mission
normlly,normally
opend,opened
pasword,password
perswade,persuade
posibly,possibly
preaditor,predator
petend,pretend
probobly,probably
raelistic,realistic
recieved,received
respound,respond
restrtictions,restrictions
rediculous,ridiculous
skreen,screen
someting,something
somthing,something
somewere,somewhere
streanges,strangers
suprise,surprise
teatching,teaching
wip,whip
whith,with
youself,yourself
