Misspelling,Suggestion
anoeing,annoying
ansaring,answering
becus,because
bullys,bullies
confedence,confidence
controlles,controls
ciber,cyber
ciberbulling,cyberbullying
cyberbulling,cyberbullying
cyberbullyin,cyberbullying
detale,detail
deetales,details
difrunt,different
emales,emails
evry,every
everyones,everyone's
futprnt,footprint
gane,gain
instagram,instagram
instergram,instagram
instergran,instagram
instgram,instagram
isnt,isn't
kil,kill
mabey,maybe
maby,maybe
meen,mean
mical,michael
micheal,michael
onllan,online
opend,opened
preffered,preferred
sichweshen,situation
streanges,strangers
tec,tech
tels,tells
wip,whip
