Misspelling,suggestion
abouy,about
anynomous,anonymous
archeype,archetype
asterick,asterisk
bankrot,bankrupt
belive,believe
metter,better
bouyant,buoyant
buracracy,bureaucracy
burracracy,bureaucracy
budter,butter
buton,button
cicle,circle
circue,circle
clob,club
colleaque,colleague
colloquilism,colloquialism
comiler,compiler
compicated,complicated
comupter,computer
contunie,continue
courst,court
criqitue,critique
dieties,deities
descrption,description
desparate,desperate
direcyly,directly
diagree,disagree
discuess,discuss
distarct,distract
drunkeness,drunkenness
dynaic,dynamic
embarass,embarrass
engins,engine
enought,enough
erro,error
eitiology,etiology
evaualtion,evaluation
forsee,foresee
fuction,function
gaurd,guard
harrass,harass
havne,have
heighth,height
hlp,help
higer,higher
howver,however
hystrical,hysterical
implemtes,implements
inconvience,inconvenience
inefficite,inefficient
initinized,initialized
innoculate,inoculate
insistenet,insistent
intealignt,intelligent
intelignt,intelligent
intellgnt,intelligent
internation,international
knawing,knowing
latext,latest
leasve,leave
liason,liaison
libary,library
likly,likely
lossing,losing
majoraly,majority
maxium,maximum
midia,media
meory,memory
mischievious,mischievous
mroe,more
oving,moving
neccessary,necessary
necesser,necessary
ocassion,occasion
occusionaly,occasionally
occuppied,occupied
protray,portray
pragmaticism,pragmatism
prefices,prefixes
respct,respect
roon,room
sacreligious,sacrilegious
scrabdle,scrabble
secion,section
seferal,several
singal,signal
simplye,simply
sitte,site
situration,situation
smil,smile
specificialy,specifically
slyph,sylph
taht,that
thw,the
tured,turned
uranisium,uranium
verison,version
whaaat,what
writting,writing
